Issue Date	Destination	Ship name	Ship nationality	Sailing	Merchant	Count	Unit	Commodity
1906-11-13	Genoa				C. H. Baldwin	12	packages	effects
1906-11-13	Genoa				J. Setton & Co.	2	cases	furniture
1906-11-13	Genoa				Various	11	packages	sundries
1905-03-03	Genoa				Griva Bros.	320	sacs	gum
1905-03-03	Genoa				M. L. Carasso	13	sacs	wax
1905-03-03	Genoa				Behrend & Co.	100	sacs	sugar
1905-03-03	Genoa				Peel & Co.	114	bales	cotton
1905-03-03	Genoa				H. Bindernagel	30	bales	cotton
1905-03-03	Genoa				R. & O. Lindemann	183	bales	cotton
1905-03-03	Genoa				J. Planta & Co.	62	bales	cotton
1905-03-03	Genoa				G. Frauger & Co.	122	bales	cotton
1905-03-03	Genoa				Choremi, Benachi & Co.	150	bales	cotton
1905-03-03	Genoa				G. Riecken	180	bales	cotton
1905-03-03	Genoa				F. Andres	107	bales	cotton
1905-03-03	Genoa				Mohr & Fenderl	93	bales	cotton
1905-03-03	Genoa				Mohr & Fenderl	1,041	bales	cotton
1905-01-06	Genoa				E. Toriel & fils	44	bales	cotton
1905-01-06	Genoa				Cattaui Bros. & Co.	106	bales	cotton
1905-01-06	Genoa				Walker & Meimarachi Ltd	300		empty casks
1905-01-06	Genoa				E. Barber & Son	71		empty casks
1905-01-06	Genoa				John B. Caffari	173		empty casks
1905-01-06	Genoa				M. L. Carasso	1	cases	cigarettes
1905-01-06	Genoa				N. Soussa Bros.	1	cases	cigarettes
1905-01-06	Genoa				Alexandria Bonded Warehouse	1	cases	cigarettes
1905-01-06	Genoa				B. Hazan & Co.	3	cases	cigarettes
1905-01-06	Genoa				C. N. Tocos & Co.	1	cases	cigarettes
1905-01-06	Genoa				Sucreries & Raff. d'Egypte	2000	bags	sugar
1905-01-06	Genoa				John B. Caffari	5	packages	tobacco
1905-01-06	Genoa				E. Hatoun	3	cases	curios
1905-01-06	Genoa				Mrs. Richmond	3	packages	effects
1905-01-06	Genoa				A. B. Burns	2	packages	effects
1905-01-06	Genoa				W. Snow Esq.	6	packages	effects
1905-01-06	Genoa				Thos. Cook & Son	7	packages	effects
1905-01-06	Genoa				C. H. Baldwin	12	packages	effects
1905-01-06	Genoa				J. Setton & Co.	2	cases	furniture
1905-01-06	Genoa				Various	11	packages	sundries
1905-11-17	Genoa				E. Mallison & Co.	124	bales	cotton
1905-11-17	Genoa				W. Trapp & Co.	31	bales	cotton
1905-11-17	Genoa				Mohr & Fenderl	156	bales	cotton
1905-11-17	Genoa				Peel & Co.	126	bales	cotton
1905-11-17	Genoa				F. Andres	60	bales	cotton
1905-11-17	Genoa				F. C. Baines & Co.	62	bales	cotton
1905-11-17	Genoa				Schmid & Co.	248	bales	cotton
1905-11-17	Genoa				R. & O. Lindemann	521	bales	cotton
1905-11-17	Genoa				G. Frauger & Co.	131	bales	cotton
1905-11-17	Genoa				H. Bindernagel	15	bales	cotton
1905-11-17	Genoa				Choremi, Benachi & Co.	190	bales	cotton
1905-11-17	Genoa				Carver Bros. & Co. Ltd.	356	bales	cotton
1905-11-17	Genoa				J. Planta & Co.	488	bales	cotton
1905-11-17	Genoa				J. Planta & Co.	2,508	bales	cotton
1905-11-17	Genoa				Dimitrino & Co.	9	cases	cigarettes
1905-11-17	Genoa				A. L. Carasso	20	packages	gum
1905-11-17	Genoa				A. Wasendan	22	bales	dry hides
1905-11-17	Genoa				Khedivial Mail Line	192	cases	oranges
1905-11-17	Genoa				A. Dreher	470		empty casks
1905-11-17	Genoa				M. L. Carasso	10	bales	henna
1905-11-17	Genoa				Kyriazi Bros.	7	cases	cigarettes
1905-11-17	Genoa				Eredi Albertini	758		empty casks
1905-11-17	Genoa				Deposito Birra di Graz	1,760		empty casks
1905-11-17	Genoa				A. Seeger	8	barrels	salted guts
1905-11-17	Genoa				A. Cumidi	14	empty	iron casks
1905-11-17	Genoa				F. Schwitz	90		empty casks
1905-11-17	Genoa				A. Stross	50,260	kilos	old iron
1905-11-17	Genoa				P. M. Statira	25	bales	dried hides
1905-11-17	Genoa				D. C. Mitzis	29	barrels	dry dates
1905-11-17	Genoa				Egypt. Ang. Spinning	36	bales	stuffing
1905-11-17	Genoa				A. Dockhorn	270		empty casks
1905-11-17	Genoa				Sté. An. Le Khédive	6	cases	cigarettes
1905-11-17	Genoa				L. Delacovias	355		empty casks
1905-11-17	Genoa				A. Frick	2	barrels	fresh fish
1905-11-17	Genoa				Various	31	packages	sundries
1905-03-28	Genoa				J. Goar & Son	1,000	quarters	beans
1905-03-28	Genoa				Tadros Ghirghis & Son	3,000	quarters	beans
1905-03-28	Genoa				G. D. Kaniskeri	965	tons	cotton seed
1905-03-28	Genoa				Moursi Bros.	900	tons	cotton seed
1905-03-28	Genoa				S. R. Barda & Sons	318	tons	cotton seed
1905-03-28	Genoa				J. Goar & Son	782	tons	cotton seed
1905-03-28	Genoa				L. Onofrio	300	cases	eggs
1905-03-28	Genoa				R. Mordo	245	cases	eggs
1905-03-28	Genoa				Kafr-Zayat Cotton Co.	11,532	bags	oil cake
1906-08-29	Genoa				Carver Bros. & Co. Ltd.	2,210	tons	cotton seed
